r [A]	U [eV]
11	-2,28042E-05
11,01	-2,25097E-05
11,02	-2,2219E-05
11,03	-2,1932E-05
11,04	-2,16487E-05
11,05	-2,13691E-05
11,06	-2,10931E-05
11,07	-2,08207E-05
11,08	-2,05518E-05
11,09	-2,02863E-05
11,1	-2,00243E-05
11,11	-1,97657E-05
11,12	-1,95104E-05
11,13	-1,92584E-05
11,14	-1,90096E-05
11,15	-1,87641E-05
11,16	-1,85218E-05
11,17	-1,82825E-05
11,18	-1,80464E-05
11,19	-1,78133E-05
11,2	-1,75832E-05
11,21	-1,73561E-05
11,22	-1,7132E-05
11,23	-1,69107E-05
11,24	-1,66923E-05
11,25	-1,64767E-05
11,26	-1,62639E-05
11,27	-1,60538E-05
11,28	-1,58465E-05
11,29	-1,56418E-05
11,3	-1,54398E-05
11,31	-1,52404E-05
11,32	-1,50435E-05
11,33	-1,48492E-05
11,34	-1,46574E-05
11,35	-1,44681E-05
11,36	-1,42812E-05
11,37	-1,40968E-05
11,38	-1,39147E-05
11,39	-1,3735E-05
11,4	-1,35576E-05
11,41	-1,33825E-05
11,42	-1,32096E-05
11,43	-1,3039E-05
11,44	-1,28706E-05
11,45	-1,27044E-05
11,46	-1,25403E-05
11,47	-1,23783E-05
11,48	-1,22185E-05
11,49	-1,20606E-05
11,5	-1,19049E-05
11,51	-1,17511E-05
11,52	-1,15993E-05
11,53	-1,14495E-05
11,54	-1,13016E-05
11,55	-1,11557E-05
11,56	-1,10116E-05
11,57	-1,08694E-05
11,58	-1,0729E-05
11,59	-1,05904E-05
11,6	-1,04536E-05
11,61	-1,03186E-05
11,62	-1,01853E-05
11,63	-1,00538E-05
11,64	-9,92391E-06
11,65	-9,79574E-06
11,66	-9,66922E-06
11,67	-9,54433E-06
11,68	-9,42106E-06
11,69	-9,29938E-06
11,7	-9,17927E-06
11,71	-9,06071E-06
11,72	-8,94368E-06
11,73	-8,82817E-06
11,74	-8,71415E-06
11,75	-8,60159E-06
11,76	-8,4905E-06
11,77	-8,38084E-06
11,78	-8,27259E-06
11,79	-8,16574E-06
11,8	-8,06027E-06
11,81	-7,95617E-06
11,82	-7,85341E-06
11,83	-7,75198E-06
11,84	-7,65185E-06
11,85	-7,55302E-06
11,86	-7,45547E-06
11,87	-7,35917E-06
11,88	-7,26412E-06
11,89	-7,1703E-06
11,9	-7,07769E-06
11,91	-6,98628E-06
11,92	-6,89604E-06
11,93	-6,80697E-06
11,94	-6,71906E-06
11,95	-6,63227E-06
11,96	-6,54661E-06
11,97	-6,46206E-06
11,98	-6,37859E-06
11,99	-6,29621E-06
12	-6,21489E-06
12,01	-6,13462E-06
12,02	-6,05538E-06
12,03	-5,97717E-06
12,04	-5,89997E-06
12,05	-5,82377E-06
12,06	-5,74855E-06
12,07	-5,6743E-06
12,08	-5,60102E-06
12,09	-5,52867E-06
12,1	-5,45727E-06
12,11	-5,38678E-06
12,12	-5,31721E-06
12,13	-5,24853E-06
12,14	-5,18074E-06
12,15	-5,11383E-06
12,16	-5,04778E-06
12,17	-4,98258E-06
12,18	-4,91823E-06
12,19	-4,8547E-06
12,2	-4,792E-06
12,21	-4,73011E-06
12,22	-4,66901E-06
12,23	-4,60871E-06
12,24	-4,54918E-06
12,25	-4,49043E-06
12,26	-4,43243E-06
12,27	-4,37518E-06
12,28	-4,31867E-06
12,29	-4,26289E-06
12,3	-4,20783E-06
12,31	-4,15349E-06
12,32	-4,09984E-06
12,33	-4,04689E-06
12,34	-3,99462E-06
12,35	-3,94302E-06
12,36	-3,8921E-06
12,37	-3,84183E-06
12,38	-3,79221E-06
12,39	-3,74323E-06
12,4	-3,69488E-06
12,41	-3,64716E-06
12,42	-3,60005E-06
12,43	-3,55355E-06
12,44	-3,50766E-06
12,45	-3,46235E-06
12,46	-3,41763E-06
12,47	-3,37349E-06
12,48	-3,32992E-06
12,49	-3,28691E-06
12,5	-3,24446E-06
12,51	-3,20255E-06
12,52	-3,16119E-06
12,53	-3,12036E-06
12,54	-3,08006E-06
12,55	-3,04028E-06
12,56	-3,00101E-06
12,57	-2,96225E-06
12,58	-2,92399E-06
12,59	-2,88622E-06
12,6	-2,84894E-06
12,61	-2,81215E-06
12,62	-2,77583E-06
12,63	-2,73997E-06
12,64	-2,70458E-06
12,65	-2,66965E-06
12,66	-2,63517E-06
12,67	-2,60114E-06
12,68	-2,56754E-06
12,69	-2,53438E-06
12,7	-2,50164E-06
12,71	-2,46933E-06
12,72	-2,43744E-06
